,best_params,accuracy,precision,recall,f1_score,roc_auc,cv_score
Random Forest,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.8705052878965922,0.12444444444444444,0.26291079812206575,0.1689291101055807,0.7046045861180609,0.9705189278377175
LightGBM,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.8874265569917744,0.12,0.19718309859154928,0.1492007104795737,0.638093446046558,0.9596187778918498
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.8886016451233842,0.11275964391691394,0.1784037558685446,0.13818181818181818,0.6379581297781742,0.9618972293601097
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.8803760282021151,0.11855670103092783,0.215962441314554,0.15307820299500832,0.6343800888789772,0.9506823886802979
Logistic Regression,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}",0.754641598119859,0.09620991253644315,0.4647887323943662,0.15942028985507245,0.6194314161399205,0.6449608647269297
